550 1280
528 1 258
384 2 511
455 3 358
296 4 654
548 5 468
66 6 349
533 7 394
93 8 288
336 9 266
201 10 739
215 11 825
400 12 954
285 13 697
309 14 921
312 15 924
119 16 19
144 17 731
87 18 693
146 19 933
277 20 181
203 21 257
141 22 706
431 23 741
512 24 579
265 25 692
131 26 663
66 27 824
209 28 226
9 29 864
325 30 907
430 31 743
368 32 425
487 33 405
336 34 293
247 35 3
158 36 923
232 37 574
368 38 543
130 39 175
453 40 616
186 41 600
393 42 508
311 43 974
320 44 832
191 45 49
362 46 648
119 47 793
137 48 898
316 49 828
165 50 247
262 51 486
543 52 325
119 53 94
288 54 514
60 55 822
129 56 576
74 57 223
179 58 470
25 59 965
319 60 688
485 61 832
196 62 716
214 63 338
195 64 540
97 65 920
83 66 105
256 67 616
494 68 204
499 69 463
428 70 24
519 71 605
425 72 947
201 73 69
215 74 514
26 75 127
362 76 315
144 77 823
391 78 431
335 79 19
311 80 263
9 81 65
101 82 561
486 83 687
238 84 128
457 85 709
472 86 690
79 87 569
337 88 935
325 89 226
430 90 392
137 91 976
504 92 834
245 93 297
289 94 431
463 95 341
538 96 223
540 97 972
399 98 594
311 99 318
16 100 283
486 101 420
62 102 284
301 103 583
274 104 842
175 105 802
244 106 875
129 107 364
548 108 507
354 109 381
331 110 853
312 111 715
437 112 751
494 113 666
79 114 394
474 115 456
428 116 63
248 117 180
47 118 256
153 119 185
365 120 229
158 121 634
336 122 430
326 123 619
313 124 676
88 125 464
131 126 714
165 127 851
276 128 368
101 129 915
121 130 127
47 131 443
158 132 347
145 133 758
419 134 583
298 135 759
516 136 837
486 137 987
206 138 544
302 139 27
292 140 842
43 141 439
84 142 932
157 143 629
66 144 1
251 145 94
79 146 159
325 147 473
29 148 546
265 149 489
338 150 877
152 151 53
322 152 995
244 154 91
81 155 198
194 156 587
201 157 761
75 158 697
157 159 347
73 160 766
401 161 581
32 162 68
535 163 948
339 164 264
436 165 70
180 166 587
1 167 293
340 168 634
522 169 825
277 170 893
143 171 904
398 172 891
220 173 866
335 174 500
247 175 39
430 176 577
273 177 10
12 178 401
486 179 832
47 180 396
29 181 258
327 182 224
441 183 238
337 184 124
56 185 881
465 186 858
101 187 646
336 188 119
195 189 977
302 190 760
302 191 996
58 192 672
190 193 987
148 194 162
84 195 519
311 196 799
508 197 313
325 198 681
196 199 675
368 200 509
311 201 236
352 202 555
460 203 159
73 204 318
479 205 975
426 206 653
410 207 956
79 208 358
215 209 211
157 210 46
232 211 53
483 212 396
512 213 963
476 214 963
20 215 187
77 216 820
313 217 783
31 218 506
43 219 380
158 220 372
60 221 827
189 222 287
470 223 27
470 224 807
20 225 614
73 226 367
144 227 409
459 228 118
387 229 798
283 230 955
106 231 422
20 232 912
159 233 928
450 234 373
440 235 840
514 236 135
512 237 583
153 238 1
464 239 736
34 240 719
328 241 710
464 242 357
511 243 104
73 244 212
398 245 519
305 246 633
171 247 534
153 248 455
365 249 366
157 250 631
101 251 91
238 252 855
53 253 375
524 254 48
174 255 709
118 256 59
22 257 405
280 258 686
524 259 769
327 260 936
253 261 585
73 262 609
50 263 383
36 264 325
197 265 756
509 266 161
292 267 546
232 268 666
267 269 830
498 270 325
107 271 376
385 272 347
453 273 433
500 274 345
469 275 977
539 276 986
153 277 442
470 278 673
215 279 923
265 280 469
58 281 471
132 282 201
365 283 333
338 284 819
486 285 350
410 286 85
480 287 890
291 288 104
66 289 326
511 290 388
142 291 937
368 292 223
88 293 622
19 294 338
309 295 372
547 296 574
58 297 704
499 298 710
505 299 941
311 300 951
268 301 866
